ranking_date,ranking,player_id,ranking_points,tours
20050101,1,200128,4760,
20050101,2,200065,4546,
20050101,3,200772,4012,
20050101,4,201345,3536,16
20050101,5,201320,3533,13
20050101,6,200108,3448,
20050101,7,200033,3128,15
20050101,8,200003,2884,
20050101,9,200748,2400,13
20050101,10,200077,2359,
20050101,11,201329,2299,13
20050101,12,200069,2022,23
20050101,13,200008,1970,
20050101,14,200067,1638,
20050101,15,200764,1598,21
20050101,16,200107,1535,0
20050101,17,200085,1469,
20050101,18,201368,1451,
20050101,19,201212,1403,23
20050101,20,200700,1334,
20050101,21,200109,1331,
20050101,22,200079,1326,
20050101,23,200110,1296,
20050101,24,200048,1270,
20050101,25,200086,1179,
20050101,26,200041,1149,
20050101,27,201364,1126,
20050101,28,201347,1062,27
20050101,29,200096,1043,
20050101,30,200020,1032,0
20050101,31,201290,971,24
20050101,32,200040,932,
20050101,33,201363,908,
20050101,34,201305,907,33
20050101,35,200056,836,
20050101,36,201331,814,18
20050101,37,201085,813,
20050101,38,201355,811,16
20050101,39,201286,803,25
20050101,40,200046,785,
20050101,41,201294,765,25
20050101,42,200049,761,
20050101,43,201308,760,28
20050101,44,201336,756,
20050101,45,200104,748,
20050101,46,201344,714,25
20050101,47,200062,674,
20050101,48,200024,673,
20050101,49,200777,654,
20050101,50,200036,650,0
20050101,51,200035,649,
20050101,52,200039,641,
20050101,53,201087,635,
20050101,54,200044,629,
20050101,55,200121,604,
20050101,56,201292,587,
20050101,57,201366,585,27
20050101,58,200060,583,
20050101,59,200754,565,27
20050101,60,200043,561,19
20050101,61,201380,555,8
20050101,62,200720,554,
20050101,63,201371,545,26
20050101,64,200118,518,
20050101,65,201325,516,23
20050101,66,200009,515,16
20050101,67,201352,508,
20050101,68,201394,507,0
20050101,69,201375,506,
20050101,70,201367,504,21
20050101,71,200123,502,
20050101,72,200126,502,
20050101,73,201417,497,23
20050101,74,201281,490,
20050101,75,201400,489,
20050101,76,201291,467,0
20050101,77,200063,467,
20050101,78,201419,463,18
20050101,79,201386,457,24
20050101,80,201397,454,25
20050101,81,200015,452,
20050101,82,201385,429,
20050101,83,201403,429,8
20050101,84,200090,425,
20050101,85,201317,424,
20050101,86,201379,410,
20050101,87,200011,408,0
20050101,88,201346,407,
20050101,89,200729,404,1
20050101,90,200032,403,
20050101,91,201309,396,
20050101,92,200773,396,26
20050101,93,200117,394,0
20050101,94,200124,383,8
20050101,95,201407,381,1
20050101,96,200025,380,
20050101,97,201401,375,7
20050101,98,201392,375,20
20050101,99,201409,374,
20050101,100,201321,370,
20050101,901,204164,7,
20050101,902,202473,7,18
20050101,903,201514,7,28
20050101,904,203339,7,
20050101,905,204271,7,
20050101,906,202385,7,
20050101,906,201634,7,
20050101,908,204858,7,
20050101,908,205100,7,
20050101,910,205302,7,
20050101,910,201533,7,22
20050101,912,205007,7,
20050101,913,201561,7,25
20050101,914,204877,7,
20050101,915,204365,7,
20050101,916,202988,7,
20050101,916,202454,7,30
20050101,918,205510,7,
20050101,919,202872,7,
20050101,919,203301,7,
20050101,921,205178,7,
20050101,922,205138,7,
20050101,923,205099,7,
20050101,924,204214,7,
20050101,925,205091,7,
20050101,925,205154,7,
20050101,925,203324,7,
20050101,928,208493,7,
20050101,929,205592,7,
20050101,930,206534,7,
20050101,930,203122,7,
20050101,930,205241,7,
20050101,933,203180,7,
20050101,934,202831,7,
20050101,934,203109,7,
20050101,936,205222,7,
20050101,936,201517,7,22
20050101,938,203985,6,
20050101,939,201664,6,25
20050101,940,204945,6,
20050101,941,207411,6,
20050101,942,205290,6,
20050101,943,204840,6,
20050101,944,202959,6,
20050101,944,203290,6,15
20050101,946,203203,6,
20050101,947,203323,6,
20050101,948,207110,6,
20050101,949,205132,6,
20050101,950,204208,6,
20050101,950,208142,6,
20050101,950,208623,6,
20050101,953,204941,6,
20050101,953,205438,6,
20050101,955,202857,6,0
20050101,956,203135,6,
20050101,957,201513,6,21
20050101,958,204977,6,
20050101,958,201650,6,21
20050101,960,208439,6,
20050101,961,203119,6,
20050101,961,206579,6,0
20050101,961,208197,6,
20050101,961,202848,6,
20050101,965,207958,6,
20050101,965,204244,6,
20050101,967,203151,6,
20050101,968,208323,6,
20050101,969,207250,6,
20050101,969,202946,6,
20050101,971,207360,5,
20050101,971,205297,5,
20050101,973,205130,5,
20050101,973,208613,5,
20050101,975,203193,5,
